OBS,RESPONSE,GENDER,ACTIVITY,AGE,AGE2
300,1,1,0,48,2304
301,1,1,0,36,1296
302,1,1,0,80,6400
303,1,1,0,60,3600
304,1,1,1,41,1681
305,1,1,0,52,2704
306,1,1,0,46,2116
307,1,1,0,70,4900
308,1,1,1,54,2916
309,1,1,0,40,1600
310,1,1,0,64,4096
311,1,1,0,46,2116
312,1,1,0,30,900
313,1,1,0,44,1936
314,1,1,0,49,2401
315,1,1,0,40,1600
316,1,1,0,35,1225
317,1,1,0,53,2809
318,1,1,0,33,1089
319,1,1,1,,0
320,1,1,0,52,2704
321,1,1,0,60,3600
322,1,1,0,49,2401
323,1,1,0,46,2116
324,1,0,0,,0
325,1,1,0,52,2704
326,1,1,1,56,3136
327,1,1,0,62,3844
328,1,0,1,61,3721
329,1,1,0,64,4096
330,1,0,0,59,3481
331,1,1,1,48,2304
332,1,1,0,56,3136
333,1,1,1,46,2116
334,1,1,1,50,2500
335,1,1,1,71,5041
336,1,0,0,60,3600
337,1,1,0,53,2809
338,1,0,0,50,2500
339,1,1,0,44,1936
340,1,1,0,41,1681
341,1,1,0,69,4761
342,1,1,0,66,4356
343,1,1,0,61,3721
344,1,1,0,33,1089
345,1,1,0,38,1444
346,1,1,1,51,2601
347,1,1,1,60,3600
348,1,1,0,48,2304
349,1,1,0,81,6561
350,1,1,0,47,2209
351,1,1,1,42,1764
352,1,1,0,59,3481
353,1,1,1,51,2601
354,1,1,1,59,3481
355,1,1,0,32,1024
356,1,0,0,70,4900
357,1,1,0,46,2116
358,1,1,1,61,3721
359,1,1,0,38,1444
360,1,1,0,71,5041
361,1,1,1,54,2916
362,1,0,0,,0
363,1,0,1,33,1089
364,1,1,0,49,2401
365,1,1,1,34,1156
366,1,1,0,64,4096
367,1,1,0,70,4900
368,1,1,0,53,2809
369,1,1,1,33,1089
370,1,1,0,69,4761
371,1,1,0,,0
372,1,1,0,70,4900
373,1,1,0,33,1089
374,1,1,0,51,2601
375,1,1,1,40,1600
376,1,1,0,43,1849
377,1,1,1,63,3969
378,1,1,0,54,2916
379,1,1,0,53,2809
380,1,1,0,62,3844
381,1,1,1,31,961
382,1,1,1,46,2116
383,1,1,0,50,2500
384,1,1,0,56,3136
385,1,1,0,53,2809
386,1,1,0,49,2401
387,1,1,0,38,1444
388,1,1,0,56,3136
389,1,1,0,37,1369
390,1,1,0,42,1764
391,1,0,0,77,5929
392,1,1,0,,0
393,1,1,0,42,1764
394,1,1,0,36,1296
395,1,0,0,48,2304
396,1,0,0,64,4096
397,1,0,0,73,5329
398,1,1,0,66,4356
399,1,1,0,65,4225
400,1,1,0,45,2025
401,1,1,0,50,2500
402,1,1,0,69,4761
403,1,1,0,59,3481
404,1,1,0,,0
405,1,1,0,,0
406,1,1,0,,0
407,1,1,0,63,3969
408,1,1,0,58,3364
409,1,1,1,54,2916
410,1,0,0,37,1369
411,1,1,0,60,3600
412,1,1,1,49,2401
413,1,1,0,63,3969
414,1,1,0,38,1444
415,1,1,0,69,4761
416,1,1,0,38,1444
417,1,1,0,67,4489
418,1,0,1,52,2704
419,1,1,0,70,4900
420,1,1,0,66,4356
421,1,1,1,51,2601
422,1,1,0,48,2304
423,1,1,0,66,4356
424,1,1,0,41,1681
425,1,1,0,46,2116
426,1,1,0,53,2809
427,1,0,0,,0
428,1,1,0,49,2401
429,1,1,0,43,1849
430,1,1,0,29,841
431,1,1,1,29,841
432,1,1,0,40,1600
433,1,1,0,79,6241
434,1,1,0,41,1681
435,1,0,0,62,3844
436,1,1,1,,0
437,1,1,0,34,1156
438,1,1,0,35,1225
439,1,1,0,35,1225
440,1,1,0,42,1764
441,1,1,0,41,1681
442,1,1,1,,0
443,1,1,1,64,4096
444,1,1,0,37,1369
445,1,0,0,71,5041
446,1,1,1,38,1444
447,1,1,0,58,3364
448,1,1,0,53,2809
449,1,1,0,60,3600
450,1,1,1,34,1156
451,1,1,1,57,3249
452,1,1,0,37,1369
453,1,1,1,56,3136
454,1,1,0,32,1024
455,1,1,0,48,2304
456,1,0,0,39,1521
457,1,1,1,46,2116
458,1,0,0,39,1521
459,1,1,0,58,3364
460,1,0,0,32,1024
461,1,1,0,44,1936
462,1,0,0,46,2116
463,1,1,0,68,4624
464,1,1,0,55,3025
465,1,0,0,55,3025
466,1,0,0,38,1444
467,1,1,1,47,2209
468,1,1,0,58,3364
469,1,0,0,44,1936
470,1,1,0,42,1764
471,1,1,0,35,1225
472,1,1,0,57,3249
473,1,1,0,63,3969
474,1,0,0,70,4900
475,1,0,0,42,1764
476,1,1,1,44,1936
477,1,1,0,43,1849
478,1,1,1,52,2704
479,1,1,1,68,4624
480,1,1,0,38,1444
481,1,1,0,43,1849
482,1,1,1,60,3600
483,1,1,1,67,4489
484,1,0,0,23,529
485,1,1,1,47,2209
486,1,1,0,62,3844
487,1,1,0,67,4489
488,1,1,0,,0
489,1,1,1,52,2704
490,1,1,0,40,1600
491,1,1,0,49,2401
492,1,1,0,62,3844
493,1,1,1,43,1849
494,1,1,0,64,4096
495,1,1,0,32,1024
496,1,1,1,68,4624
497,1,1,1,62,3844
498,1,1,1,39,1521
499,1,1,0,56,3136
500,1,0,0,60,3600
501,0,1,0,40,1600
502,0,1,0,54,2916
503,0,0,0,33,1089
504,0,1,0,61,3721
505,0,0,0,61,3721
506,0,0,0,39,1521
507,0,1,1,,0
508,0,1,0,36,1296
509,0,0,0,42,1764
510,0,1,1,42,1764
511,0,0,0,11,121
512,0,1,0,38,1444
513,0,1,0,55,3025
514,0,1,1,43,1849
515,0,0,0,62,3844
516,0,1,0,54,2916
517,0,1,0,,0
518,0,0,0,48,2304
519,0,1,0,43,1849
520,0,0,0,35,1225
521,0,1,0,,0
522,0,1,0,,0
523,0,0,0,53,2809
524,0,0,0,66,4356
525,0,0,0,50,2500
526,0,1,0,58,3364
527,0,0,0,60,3600
528,0,1,0,55,3025
529,0,0,1,48,2304
530,0,0,0,39,1521
531,0,1,0,66,4356
532,0,1,1,66,4356
533,0,0,0,37,1369
534,0,1,0,27,729
535,0,0,0,55,3025
536,0,1,1,,0
537,0,1,0,45,2025
538,0,1,0,38,1444
539,0,0,0,41,1681
540,0,0,0,,0
541,0,1,0,51,2601
542,0,0,0,40,1600
543,0,0,0,37,1369
544,0,0,0,40,1600
545,0,0,0,40,1600
546,0,1,0,80,6400
547,0,0,0,35,1225
548,0,1,0,55,3025
549,0,1,0,40,1600
550,0,0,0,66,4356
551,0,1,0,79,6241
552,0,1,1,53,2809
553,0,1,0,38,1444
554,0,1,0,31,961
555,0,0,0,,0
556,0,0,0,44,1936
557,0,0,0,40,1600
558,0,1,0,36,1296
559,0,0,0,47,2209
560,0,1,0,38,1444
561,0,1,1,35,1225
562,0,1,0,66,4356
563,0,1,0,63,3969
564,0,1,0,58,3364
565,0,1,0,,0
566,0,1,0,57,3249
567,0,0,0,30,900
568,0,0,0,44,1936
569,0,1,0,68,4624
570,0,0,0,30,900
571,0,1,0,,0
572,0,1,0,43,1849
573,0,1,0,40,1600
574,0,1,0,43,1849
575,0,1,0,40,1600
576,0,1,0,49,2401
577,0,1,0,33,1089
578,0,1,1,,0
579,0,1,0,29,841
580,0,0,0,37,1369
581,0,0,0,64,4096
582,0,0,0,30,900
583,0,1,0,38,1444
584,0,1,0,61,3721
585,0,1,0,52,2704
586,0,1,0,19,361
587,0,1,0,33,1089
588,0,1,1,62,3844
589,0,0,0,75,5625
590,0,1,0,42,1764
591,0,1,0,38,1444
592,0,1,0,55,3025
593,0,1,0,37,1369
594,0,1,1,,0
595,0,1,1,65,4225
596,0,0,0,47,2209
597,0,0,0,36,1296
598,0,1,0,31,961
599,0,0,0,,0
600,0,1,0,69,4761
601,0,1,0,45,2025
602,0,0,0,36,1296
603,0,1,0,36,1296
604,0,1,0,74,5476
605,0,1,0,52,2704
606,0,1,1,73,5329
607,0,1,0,38,1444
608,0,0,1,47,2209
609,0,0,0,38,1444
610,0,1,1,41,1681
611,0,1,0,14,196
612,0,1,0,70,4900
613,0,1,0,39,1521
614,0,1,0,51,2601
615,0,1,0,47,2209
616,0,0,0,,0
617,0,1,0,64,4096
618,0,1,0,66,4356
619,0,1,0,68,4624
620,0,1,0,61,3721
621,0,1,0,35,1225
622,0,1,0,63,3969
623,0,0,0,71,5041
624,0,0,0,42,1764
625,0,1,0,37,1369
626,0,1,0,33,1089
627,0,1,1,56,3136
628,0,1,0,37,1369
629,0,1,0,,0
630,0,0,0,32,1024
631,0,1,1,51,2601
632,0,0,0,45,2025
633,0,0,0,,0
634,0,0,0,,0
635,0,0,0,87,7569
636,0,0,0,56,3136
637,0,1,0,35,1225
638,0,0,0,41,1681
639,0,1,0,32,1024
640,0,1,0,29,841
641,0,0,0,37,1369
642,0,1,0,,0
643,0,1,1,43,1849
644,0,0,0,36,1296
645,0,0,0,40,1600
646,0,0,0,42,1764
647,0,1,0,41,1681
648,0,1,0,44,1936
649,0,1,0,47,2209
650,0,1,0,39,1521
651,0,1,0,48,2304
652,0,0,0,44,1936
653,0,0,0,44,1936
654,0,1,0,30,900
655,0,1,0,38,1444
656,0,1,0,,0
657,0,1,0,33,1089
658,0,0,0,91,8281
659,0,1,0,38,1444
660,0,0,0,40,1600
661,0,0,0,69,4761
662,0,1,0,70,4900
663,0,1,0,46,2116
664,0,0,0,59,3481
665,0,0,0,25,625
666,0,1,0,61,3721
667,0,0,0,35,1225
668,0,1,0,66,4356
669,0,0,1,68,4624
670,0,0,0,42,1764
671,0,1,0,41,1681
672,0,1,0,,0
673,0,0,0,,0
674,0,1,0,50,2500
675,0,0,0,48,2304
676,0,0,0,76,5776
677,0,1,0,63,3969
678,0,1,0,,0
679,0,0,0,79,6241
680,0,0,0,,0
681,0,1,0,53,2809
682,0,0,0,68,4624
683,0,1,0,42,1764
684,0,0,1,40,1600
685,0,1,0,59,3481
686,0,1,0,,0
687,0,0,0,34,1156
688,0,1,0,67,4489
689,0,1,0,41,1681
690,0,1,0,72,5184
691,0,1,1,68,4624
692,0,0,0,63,3969
693,0,1,0,61,3721
694,0,1,1,39,1521
695,0,0,0,64,4096
696,0,1,0,66,4356
697,0,0,1,50,2500
698,0,1,0,93,8649
699,0,1,0,,0
700,0,0,1,48,2304
701,0,0,0,74,5476
702,0,0,0,70,4900
703,0,0,0,53,2809
704,0,0,0,44,1936
705,0,0,0,44,1936
706,0,1,1,35,1225
707,0,0,0,30,900
708,0,1,0,32,1024
709,0,1,0,38,1444
710,0,0,0,,0
711,0,0,0,43,1849
712,0,1,0,70,4900
713,0,1,0,30,900
714,0,0,0,48,2304
715,0,0,0,63,3969
716,0,1,0,59,3481
717,0,0,0,68,4624
718,0,0,0,33,1089
719,0,1,1,35,1225
720,0,1,0,69,4761
721,0,0,0,53,2809
722,0,1,0,,0
723,0,1,1,58,3364
724,0,1,0,44,1936
725,0,1,0,36,1296
726,0,1,0,50,2500
727,0,1,0,,0
728,0,1,0,27,729
729,0,1,0,53,2809
730,0,1,0,64,4096
731,0,1,0,53,2809
732,0,1,0,45,2025
733,0,1,0,62,3844
734,0,1,0,38,1444
735,0,1,0,47,2209
736,0,0,0,45,2025
737,0,0,0,39,1521
738,0,0,0,54,2916
739,0,1,0,34,1156
740,0,1,1,48,2304
741,0,1,0,,0
742,0,0,0,31,961
743,0,0,0,53,2809
744,0,1,0,46,2116
745,0,1,0,41,1681
746,0,0,0,44,1936
747,0,1,0,58,3364
748,0,0,0,37,1369
749,0,1,0,47,2209
750,0,0,0,44,1936
751,0,1,0,58,3364
752,0,0,0,,0
753,0,1,0,58,3364
754,0,0,0,65,4225
755,0,1,0,,0
756,0,0,0,33,1089
757,0,1,0,45,2025
758,0,1,0,60,3600
759,0,1,0,49,2401
760,0,1,0,48,2304
761,0,0,0,52,2704
762,0,1,0,62,3844
763,0,0,0,72,5184
764,0,1,0,68,4624
765,0,1,0,,0
766,0,0,0,56,3136
767,0,1,1,62,3844
768,0,0,0,37,1369
769,0,0,0,45,2025
770,0,1,0,41,1681
771,0,1,0,47,2209
772,0,0,0,41,1681
773,0,1,0,24,576
774,0,0,0,37,1369
775,0,0,0,76,5776
776,0,0,0,,0
777,0,0,0,72,5184
778,0,0,0,,0
779,0,0,1,46,2116
780,0,1,0,,0
781,0,1,0,55,3025
782,0,1,0,51,2601
783,0,0,0,70,4900
784,0,1,0,81,6561
785,0,0,0,,0
786,0,0,0,48,2304
787,0,0,0,55,3025
788,0,1,0,62,3844
789,0,1,0,61,3721
790,0,1,0,63,3969
791,0,0,0,31,961
792,0,0,0,54,2916
793,0,1,0,66,4356
794,0,0,0,70,4900
795,0,1,0,22,484
796,0,0,0,39,1521
797,0,1,0,54,2916
798,0,1,0,66,4356
799,0,0,0,68,4624
800,0,1,0,30,900
801,0,1,0,50,2500
802,0,1,1,69,4761
803,0,0,0,35,1225
804,0,1,0,40,1600
805,0,1,0,53,2809
806,0,0,0,76,5776
807,0,0,0,65,4225
808,0,0,0,38,1444
809,0,0,0,70,4900
810,0,1,0,41,1681
811,0,1,0,50,2500
812,0,0,0,76,5776
813,0,0,0,65,4225
814,0,0,0,52,2704
815,0,1,0,44,1936
816,0,1,0,57,3249
817,0,1,0,46,2116
818,0,0,0,48,2304
819,0,1,0,61,3721
820,0,1,0,39,1521
821,0,1,0,57,3249
822,0,1,0,32,1024
823,0,0,0,66,4356
824,0,1,0,80,6400
825,0,1,0,30,900
826,0,0,1,66,4356
827,0,1,0,37,1369
828,0,1,0,68,4624
829,0,1,0,74,5476
830,0,1,0,31,961
831,0,1,0,40,1600
832,0,1,0,79,6241
833,0,1,0,53,2809
834,0,0,0,66,4356
835,0,1,0,45,2025
836,0,1,1,46,2116
837,0,1,0,56,3136
838,0,1,0,66,4356
839,0,0,0,50,2500
840,0,1,1,28,784
841,0,0,1,53,2809
842,0,0,0,38,1444
843,0,0,1,61,3721
844,0,1,0,28,784
845,0,1,0,56,3136
846,0,1,0,79,6241
847,0,0,0,,0
848,0,0,0,53,2809
849,0,0,0,72,5184
850,0,1,0,48,2304
851,0,1,0,,0
852,0,1,0,44,1936
853,0,1,0,47,2209
854,0,1,0,35,1225
855,0,0,0,,0
856,0,1,1,68,4624
857,0,1,0,47,2209
858,0,1,0,37,1369
859,0,0,0,,0
860,0,1,0,70,4900
861,0,0,0,33,1089
862,0,1,0,66,4356
863,0,0,1,41,1681
864,0,1,0,29,841
865,0,0,0,50,2500
866,0,1,0,65,4225
867,0,1,0,49,2401
868,0,1,0,68,4624
869,0,1,0,55,3025
870,0,1,0,47,2209
871,0,1,1,62,3844
872,0,1,0,70,4900
873,0,1,1,77,5929
874,0,0,0,68,4624
875,0,1,0,52,2704
876,0,1,0,58,3364
877,0,0,0,39,1521
878,0,1,0,64,4096
879,0,1,0,50,2500
880,0,1,0,50,2500
881,0,1,0,44,1936
882,0,1,0,55,3025
883,0,0,0,71,5041
884,0,1,0,65,4225
885,0,1,0,47,2209
886,0,1,0,45,2025
887,0,1,0,51,2601
888,0,0,0,45,2025
889,0,0,0,49,2401
890,0,0,0,59,3481
891,0,1,0,48,2304
892,0,1,0,,0
893,0,0,0,38,1444
894,0,1,0,54,2916
895,0,1,0,,0
896,0,1,0,36,1296
897,0,1,0,50,2500
898,0,1,0,39,1521
899,0,1,0,45,2025
900,0,1,0,75,5625
901,0,0,0,42,1764
902,0,1,1,38,1444
903,0,1,0,40,1600
904,0,0,0,30,900
905,0,0,0,78,6084
906,0,1,0,,0
907,0,1,0,45,2025
908,0,1,0,42,1764
909,0,1,0,40,1600
910,0,0,0,75,5625
911,0,1,0,70,4900
912,0,1,0,40,1600
913,0,0,0,52,2704
914,0,0,0,42,1764
915,0,0,0,63,3969
916,0,1,0,55,3025
917,0,1,0,74,5476
918,0,1,0,76,5776
919,0,1,1,68,4624
920,0,1,0,47,2209
921,0,1,0,69,4761
922,0,1,0,56,3136
923,0,0,0,63,3969
924,0,1,0,56,3136
925,0,1,0,43,1849
926,0,1,0,50,2500
927,0,1,0,67,4489
928,0,0,0,73,5329
929,0,1,0,32,1024
930,0,1,0,66,4356
931,0,1,1,55,3025
932,0,0,0,25,625
933,0,0,0,59,3481
934,0,1,0,66,4356
935,0,0,0,67,4489
936,0,0,0,35,1225
937,0,0,0,69,4761
938,0,1,0,59,3481
939,0,1,0,61,3721
940,0,0,1,64,4096
941,0,1,0,44,1936
942,0,0,0,,0
943,0,0,0,,0
944,0,1,0,56,3136
945,0,1,0,56,3136
946,0,0,0,67,4489
947,0,0,0,32,1024
948,0,1,0,60,3600
949,0,1,0,61,3721
950,0,1,0,49,2401
951,0,0,0,52,2704
952,0,1,0,82,6724
953,0,1,0,63,3969
954,0,0,0,27,729
955,0,1,1,47,2209
956,0,1,0,49,2401
957,0,1,0,55,3025
958,0,1,0,52,2704
959,0,0,1,69,4761
960,0,1,0,49,2401
961,0,1,0,43,1849
962,0,0,0,32,1024
963,0,0,0,64,4096
964,0,1,1,64,4096
965,0,1,0,45,2025
966,0,1,1,59,3481
967,0,1,0,63,3969
968,0,0,0,45,2025
969,0,0,0,39,1521
970,0,1,0,61,3721
971,0,1,0,36,1296
972,0,1,1,53,2809
973,0,1,1,39,1521
974,0,1,1,26,676
975,0,0,0,74,5476
976,0,0,1,38,1444
977,0,1,0,66,4356
978,0,0,1,53,2809
979,0,1,0,76,5776
980,0,0,0,62,3844
981,0,1,0,59,3481
982,0,1,0,42,1764
983,0,1,0,37,1369
984,0,0,0,33,1089
985,0,1,0,41,1681
986,0,1,0,27,729
987,0,1,1,68,4624
988,0,1,0,33,1089
989,0,0,0,49,2401
990,0,1,0,53,2809
991,0,1,1,53,2809
992,0,1,0,56,3136
993,0,0,0,38,1444
994,0,0,0,34,1156
995,0,1,0,,0
996,0,0,0,77,5929
997,0,1,1,47,2209
998,0,0,0,70,4900
999,0,1,0,55,3025
1000,0,1,0,56,3136
